up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
3493268358694969,猫猫头追娱,1,2194478,50016,2863,76076,2194478.0,0.0228,0
2021294032,鸽咕咕咕咕菜,1,2193591,348241,31576,570390,2193591.0,0.1588,1
123927359,明茂-,1,2191127,285052,106792,541666,2191127.0,0.1301,0
6739643,话很多的小姐姐们,1,2187615,79135,21902,154957,2187615.0,0.0362,0
401814844,零青子,1,2187299,192203,16742,372185,2187299.0,0.0879,0
432083444,功夫大叔,1,2186323,247778,237416,563756,2186323.0,0.1133,1
51278442,是哈礼鹿呀,1,2186218,242962,1024,259715,2186218.0,0.1111,0
22073,无责任的幻想世界,1,2183855,140188,68004,263078,2183855.0,0.0642,0
3546684458010636,魏建军,1,2183311,142159,9225,169524,2183311.0,0.0651,0
405110595,熊猫君又来啦,1,2182712,60340,5410,86750,2182712.0,0.0276,0
262453663,Vinheteiro,1,2179271,161565,51420,311553,2179271.0,0.0741,1
13199099,植物椿,1,2178300,63259,8033,87900,2178300.0,0.029,0
2711477,劣质罐头,1,2175912,209285,46755,339013,2175912.0,0.0962,0
3546720675826241,妄想天使唯一指定官号,1,2175720,263991,95583,476706,2175720.0,0.1213,1
511644921,萨古的奶茶计划,1,2174126,96464,51172,294192,2174126.0,0.0444,0
2403047,嘟督不噶油,1,2171133,139655,95756,335326,2171133.0,0.0643,0
24902850,熊三岁的玩乐世界,1,2170714,106615,117056,279737,2170714.0,0.0491,0
2640831,树洞里的理查德,1,2170577,237289,201232,579985,2170577.0,0.1093,0
129581654,可达Hutch,1,2162831,202565,21028,270421,2162831.0,0.0937,0
3546897750952915,拾贰不摄,1,2161011,134983,13631,197278,2161011.0,0.0625,0
37937944,一只小罗曼,1,2159115,142984,12542,194003,2159115.0,0.0662,0
25011599,哦桑ohsan,1,2157255,137509,11151,189157,2157255.0,0.0637,0
71469854,杂学家杂废是也,1,2157000,313079,97195,552089,2157000.0,0.1451,0
371846699,图灵的猫,1,2156791,125694,46155,257775,2156791.0,0.0583,0
271087786,大阳还会升起,1,2156767,128064,66488,242167,2156767.0,0.0594,0
2010145448,永劫无间手游,1,2154606,31428,2342,44884,2154606.0,0.0146,0
316765726,东北翠花在东北,1,2154436,77090,2507,92651,2154436.0,0.0358,0
474290584,赵传歌手,1,2153943,145652,46589,222188,2153943.0,0.0676,0
107084,高彩萍和乔老爷,1,2144078,189729,15356,227668,2144078.0,0.0885,0
314823429,淘米睡起床了,1,2142963,215793,102500,397945,2142963.0,0.1007,0
19226160,橙红Iris,1,2139908,61186,4257,83051,2139908.0,0.0286,0
